bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,1.1182785034179688,1.793670654296875,2.200436592102051,64.70701694488525,3.7204504013061523,51.0078125,95.001953125,80.0078125,18.0,168.0
2,1.7699718475341797,2.9735326766967773,3.211069107055665,64.73488807678223,3.7169694900512695,53.0078125,174.00390625,128.0078125,36.0,168.0
4,3.177189826965332,5.571699142456055,5.543231964111328,64.75849151611328,3.6870241165161133,57.0078125,332.0078125,224.0078125,72.0,168.0
8,6.120109558105469,10.544466972351074,10.707306861877441,64.2425537109375,3.688931465148926,65.0078125,648.015625,416.0078125,144.0,168.0
16,11.434412002563477,19.97380256652832,21.139097213745117,64.41679000854492,3.686189651489258,81.0078125,1280.03125,800.0078125,288.0,168.0
32,22.185492515563965,38.24126720428467,41.41530990600586,64.06655311584473,3.7139892578125,113.0078125,2544.0625,1568.0078125,576.0,168.0
64,43.89057159423828,75.98464488983154,80.24961948394775,64.43469524383545,3.6812543869018555,177.0078125,5072.125,3104.0078125,1152.0,168.0
