bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,17.366504669189453,28.684473037719727,22.53706455230713,126.69289112091064,14.53397274017334,72.05078125,792.0,780.08203125,72.0,168.0
2,30.12866973876953,55.164504051208496,43.64058971405029,126.80230140686035,14.752578735351562,96.05078125,1584.0,1512.11328125,144.0,168.0
4,59.17463302612305,108.36489200592041,86.41247749328613,126.80385112762451,14.672136306762695,144.05078125,3168.0,2976.17578125,288.0,168.0
8,116.29126071929932,213.80090713500977,172.0473051071167,126.72078609466553,14.587211608886719,240.05078125,6336.0,5904.30078125,576.0,168.0
