bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,1.010894775390625,1.207137107849121,2.4912595748901367,71.81825637817383,6.814694404602051,27.4755859375,8.751953125,39.5380859375,3.375,94.5
2,1.2290239334106445,1.7104387283325195,2.582120895385742,71.79281711578369,6.806612014770508,27.8505859375,16.50390625,41.5380859375,6.75,94.5
4,1.5730619430541992,2.6494979858398438,4.177761077880859,71.8013048171997,6.863236427307129,29.1005859375,34.0078125,46.2880859375,13.5,94.5
8,2.734088897705078,4.651045799255371,6.80391788482666,71.64356708526611,6.853270530700684,30.1005859375,66.515625,68.05029296875,27.0,94.5
16,5.035400390625,8.596634864807129,13.223028182983398,71.75884246826172,6.809711456298828,33.1005859375,133.03125,106.05029296875,54.0,94.5
32,9.748101234436035,16.45023822784424,25.546598434448242,71.66688442230225,6.805300712585449,39.1005859375,264.0625,145.05029296875,108.0,94.5
64,18.86293888092041,32.23581314086914,49.85811710357666,71.6904878616333,6.80842399597168,51.1005859375,528.125,245.0380859375,216.0,94.5
