bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,2.10416316986084,3.481459617614746,4.190802574157715,85.24768352508545,8.806705474853516,51.0078125,95.001953125,80.0078125,18.0,168.0
2,3.4566640853881836,5.624532699584961,7.345414161682129,85.08608341217041,8.771038055419922,53.0078125,174.00390625,128.0078125,36.0,168.0
4,6.274199485778809,10.711884498596191,14.55068588256836,85.00218391418457,8.83786678314209,57.0078125,332.0078125,224.0078125,72.0,168.0
8,11.866569519042969,20.443224906921387,27.033162117004395,85.05384922027588,8.80134105682373,65.0078125,648.015625,416.0078125,144.0,168.0
16,22.870635986328125,40.21997451782226,52.735424041748054,84.8536491394043,8.83183479309082,81.0078125,1280.03125,800.0078125,288.0,168.0
32,44.3157434463501,82.10005760192871,111.098313331604,84.96088981628418,8.862733840942383,113.0078125,2544.0625,1568.0078125,576.0,168.0
64,86.20214462280273,157.2657823562622,214.8350477218628,84.79025363922119,8.924245834350586,177.0078125,5072.125,3104.0078125,1152.0,168.0
