bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,5.850648880004883,10.838866233825684,5.045557022094727,62.32607364654541,3.867173194885254,72.05078125,792.0,780.08203125,72.0,168.0
2,11.047983169555664,21.03893756866455,10.71770191192627,62.306904792785645,3.8875818252563477,96.05078125,1584.0,1512.11328125,144.0,168.0
4,21.34990692138672,41.050171852111816,20.564746856689453,62.27462291717529,3.8866758346557617,144.05078125,3168.0,2976.17578125,288.0,168.0
8,42.171502113342285,80.2384614944458,40.35186767578125,61.98909282684326,3.80859375,240.05078125,6336.0,5904.30078125,576.0,168.0
