bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,1.9922018051147459,3.512096405029297,3.5711288452148438,75.07994174957275,6.655454635620117,27.005859375,71.75390625,52.255859375,13.5,94.5
2,3.313302993774414,5.841541290283203,6.868791580200195,74.64582920074463,6.652736663818359,27.005859375,128.5078125,90.005859375,27.0,94.5
4,6.030154228210449,10.982704162597656,13.169097900390625,74.42986965179443,6.713366508483887,27.005859375,244.015625,162.005859375,54.0,94.5
8,11.581254005432129,21.23570442199707,25.67591667175293,74.34298992156982,6.659936904907227,27.005859375,475.03125,305.255859375,108.0,94.5
16,22.33450412750244,41.35951995849609,50.66094398498536,74.2070198059082,6.663036346435547,27.005859375,937.0625,594.005859375,216.0,94.5
32,42.78085231781006,80.63957691192627,99.61893558502197,74.15623664855957,6.661248207092285,27.005859375,1861.125,1170.005859375,432.0,94.5
64,85.01284122467041,163.38350772857666,199.5483160018921,74.07481670379639,6.660366058349609,27.005859375,3709.25,2322.005859375,864.0,94.5
128,169.8735237121582,327.13918685913086,396.2592840194702,73.87635707855225,6.6608428955078125,27.005859375,7405.5,4626.005859375,1728.0,94.5
