bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,3.1720399856567383,5.641460418701172,5.554080009460449,131.59782886505127,14.353704452514648,48.0078125,94.00390625,80.0078125,18.0,168.0
2,5.279135704040527,9.700202941894531,11.905956268310547,131.48529529571533,14.199328422546387,48.0078125,171.0078125,128.0078125,36.0,168.0
4,10.6337308883667,18.895745277404785,22.800898551940918,131.3504457473755,14.467716217041016,48.0078125,325.015625,224.0078125,72.0,168.0
8,18.47400665283203,34.21509265899658,43.48292350769043,130.93173503875732,14.487791061401367,48.0078125,633.03125,416.0078125,144.0,168.0
16,35.71209907531738,66.42086505889893,86.42771244049072,130.81648349761963,14.34948444366455,48.0078125,1249.0625,800.0078125,288.0,168.0
32,69.64619159698486,129.45563793182373,172.9109287261963,130.63499927520752,14.276885986328125,48.0078125,2481.125,1568.0078125,576.0,168.0
64,137.00854778289795,257.6704263687134,342.63384342193604,130.1328182220459,14.267849922180176,48.0078125,4945.25,3104.0078125,1152.0,168.0
