bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,0.8705854415893555,0.9804248809814453,1.9087791442871094,38.310813903808594,1.6782045364379883,27.4755859375,8.751953125,39.5380859375,3.375,94.5
2,0.8418560028076172,0.9911775588989258,1.9980907440185547,38.38610649108887,1.6819477081298828,27.8505859375,16.50390625,41.5380859375,6.75,94.5
4,0.8816719055175781,0.9546995162963867,2.2847414016723633,38.40687274932861,1.6910314559936523,29.1005859375,34.0078125,46.2880859375,13.5,94.5
8,1.0622739791870117,1.4018058776855469,2.4013519287109375,38.524532318115234,1.689767837524414,30.1005859375,66.515625,68.05029296875,27.0,94.5
16,1.6786813735961914,2.641940116882324,3.645467758178712,38.55290412902832,1.691269874572754,33.1005859375,133.03125,106.05029296875,54.0,94.5
32,3.015303611755371,5.08723258972168,6.946539878845215,38.506174087524414,1.689600944519043,39.1005859375,264.0625,149.05029296875,108.0,94.5
64,5.718994140625,8.922147750854492,12.64808177947998,38.594603538513184,1.7041921615600586,51.1005859375,528.125,245.0380859375,216.0,94.5
