bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,0.8504629135131836,0.9842634201049805,2.0372390747070312,62.30463981628418,3.856492042541504,48.61328125,11.001953125,67.05078125,4.5,168.0
2,0.8574247360229492,0.9886503219604492,2.248978614807129,62.29557991027832,3.8555145263671875,49.11328125,22.00390625,70.05078125,9.0,168.0
4,1.040029525756836,1.337575912475586,2.232193946838379,62.19980716705322,3.85589599609375,50.11328125,44.0078125,76.05078125,18.0,168.0
8,1.3434648513793945,2.256011962890625,3.381633758544922,61.955952644348145,3.837108612060547,52.11328125,88.015625,100.06689453125,36.0,168.0
16,2.45974063873291,4.150891304016113,5.608844757080078,61.88206672668457,3.835725784301758,56.11328125,176.03125,150.06689453125,72.0,168.0
32,4.85384464263916,7.776951789855957,10.989928245544434,61.98554039001465,3.8578271865844727,64.11328125,352.0625,192.05078125,144.0,168.0
64,9.099745750427246,14.820218086242676,21.693944931030273,61.97688579559326,3.8152694702148438,80.11328125,704.125,336.05078125,288.0,168.0
