bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,9.87863540649414,16.109418869018555,13.776159286499023,80.9096097946167,9.08503532409668,72.05078125,792.0,780.08203125,72.0,168.0
2,17.936182022094727,32.36832618713379,26.978087425231934,80.91104030609131,9.063220024108887,96.05078125,1584.0,1512.11328125,144.0,168.0
4,35.52701473236084,64.77510929107666,53.69873046875,81.07447624206543,8.974099159240723,144.05078125,3168.0,2976.17578125,288.0,168.0
8,68.65146160125732,129.56974506378174,111.1093282699585,80.96628189086914,8.974218368530273,240.05078125,6336.0,5904.30078125,576.0,168.0
