bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,4.171323776245117,8.304262161254883,2.965712547302246,38.21361064910889,1.6699552536010742,49.0380859375,600.015625,572.0537109375,54.0,94.5
2,7.636785507202148,15.42360782623291,6.858181953430176,38.45572471618652,1.678633689880371,71.0380859375,1200.03125,1114.8193359375,108.0,94.5
4,14.832258224487305,29.537320137023926,12.165141105651855,38.464927673339844,1.6825437545776367,115.0380859375,2400.0625,2201.1005859375,216.0,94.5
8,29.644060134887695,58.387017250061035,22.74155616760254,38.43429088592529,1.6872644424438477,203.0380859375,4800.125,4371.4130859375,432.0,94.5
