bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,0.981593132019043,1.239919662475586,2.1842241287231445,40.37606716156006,1.5944480895996094,30.005859375,71.751953125,51.505859375,13.5,94.5
2,1.2749910354614258,1.9427061080932617,2.1642684936523438,40.6463623046875,1.5850305557250977,31.005859375,130.50390625,90.005859375,27.0,94.5
4,2.221202850341797,3.679180145263672,3.495049476623535,40.54715633392334,1.5797138214111328,34.005859375,249.0078125,162.005859375,54.0,94.5
8,3.970146179199219,6.913495063781738,6.928515434265137,40.5017614364624,1.593613624572754,40.005859375,486.015625,303.755859375,108.0,94.5
16,7.4787139892578125,12.458014488220215,12.476420402526855,40.47901630401611,1.5786409378051758,52.005859375,960.03125,594.005859375,216.0,94.5
32,14.784979820251465,24.516940116882324,23.007631301879883,40.26761054992676,1.5707015991210938,76.005859375,1908.0625,1170.005859375,432.0,94.5
64,28.890347480773926,48.72927665710449,45.888519287109375,40.187692642211914,1.5748023986816406,124.005859375,3804.125,2322.005859375,864.0,94.5
