bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,1.3056039810180664,1.2356281280517578,3.1197309494018555,80.85732460021973,8.970785140991211,48.61328125,11.001953125,67.05078125,4.5,168.0
2,1.5838623046875,1.556563377380371,3.373074531555176,80.79679012298584,9.044766426086426,49.11328125,22.00390625,70.05078125,9.0,168.0
4,1.9019365310668945,2.604508399963379,4.43730354309082,80.79385757446289,9.063100814819336,50.11328125,44.0078125,76.05078125,18.0,168.0
8,2.901339530944824,4.548239707946777,7.756853103637695,80.77592849731445,8.959078788757324,52.11328125,88.015625,100.06689453125,36.0,168.0
16,5.437803268432617,8.603143692016602,14.80553150177002,80.79562187194824,8.965444564819336,56.11328125,176.03125,152.06689453125,72.0,168.0
32,10.386371612548828,16.284918785095215,27.4472713470459,80.84607124328613,8.895540237426758,64.11328125,352.0625,208.06689453125,144.0,168.0
64,19.97661590576172,32.28898048400879,52.83808708190918,80.77213764190674,8.897018432617188,80.11328125,704.125,336.05078125,288.0,168.0
