bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,6.442117691040039,11.735749244689941,8.019471168518066,49.08292293548584,3.8887739181518555,49.0380859375,600.015625,572.0537109375,54.0,94.5
2,11.713194847106934,23.447203636169434,15.60969352722168,49.115586280822754,3.8982629776000977,71.0380859375,1200.03125,1114.8193359375,108.0,94.5
4,23.14302921295166,45.85671424865723,31.297612190246582,49.106454849243164,3.926396369934082,115.0380859375,2400.0625,2201.1005859375,216.0,94.5
8,45.39999961853027,90.00494480133057,61.54835224151611,49.10101890563965,3.8842201232910156,203.0380859375,4800.125,4371.4130859375,432.0,94.5
