bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,1.2313604354858398,1.3285398483276367,2.9040098190307617,49.18651580810547,3.8886547088623047,27.4755859375,8.751953125,39.5380859375,3.375,94.5
2,1.4209508895874023,1.222085952758789,3.2053709030151367,49.12464618682861,3.920531272888184,27.8505859375,16.50390625,41.5380859375,6.75,94.5
4,1.5760183334350586,1.627516746520996,3.3374786376953125,49.12383556365967,3.889751434326172,29.1005859375,34.0078125,46.2880859375,13.5,94.5
8,1.9848585128784177,2.83358097076416,4.862713813781738,49.124979972839355,3.8982629776000977,30.1005859375,66.515625,68.05029296875,27.0,94.5
16,3.260922431945801,5.197906494140625,8.510231971740723,49.138712882995605,3.8918495178222656,33.1005859375,133.03125,106.05029296875,54.0,94.5
32,6.065177917480469,9.726667404174805,16.18068218231201,49.09377098083496,3.889036178588867,39.1005859375,264.0625,169.05029296875,108.0,94.5
64,12.052392959594727,19.167566299438477,31.33556842803955,49.085450172424316,3.8927555084228516,51.1005859375,528.125,245.0380859375,216.0,94.5
