bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,1.1624813079833984,1.6711711883544922,2.3603439331054688,126.71887874603271,14.923882484436035,48.61328125,11.001953125,67.05078125,4.5,168.0
2,1.5149593353271484,2.564835548400879,3.6336660385131836,126.70025825500488,14.881277084350586,49.11328125,22.00390625,70.05078125,9.0,168.0
4,2.517557144165039,4.198193550109863,6.1374664306640625,126.74164772033691,14.779376983642578,50.11328125,44.0078125,76.05078125,18.0,168.0
8,4.500007629394531,7.653164863586426,11.926102638244629,126.73645019531249,14.877915382385254,52.11328125,88.015625,100.06689453125,36.0,168.0
16,9.298563003540039,14.875602722167969,22.655963897705078,126.69966220855713,14.989066123962402,56.11328125,176.03125,144.06689453125,72.0,168.0
32,16.100358963012695,26.9528865814209,43.4995174407959,126.70085430145264,14.734029769897461,64.11328125,352.0625,192.05078125,144.0,168.0
64,31.069231033325195,52.88383960723877,85.97664833068848,126.74012184143066,14.886856079101562,80.11328125,704.125,336.05078125,288.0,168.0
