bs,time_f,time_b,time_kron,time_inv,time_prec,mem_param,mem_act,mem_peak_err,mem_save_err,mem_kron
1,10.906553268432617,19.962096214294434,13.134431838989258,71.58677577972412,6.910419464111328,49.0380859375,600.015625,572.0537109375,54.0,94.5
2,20.45133113861084,39.639949798583984,25.582098960876465,71.61216735839844,6.804203987121582,71.0380859375,1200.03125,1114.8193359375,108.0,94.5
4,39.83502388000488,77.09903717041016,50.26874542236328,71.69241905212402,6.813788414001465,115.0380859375,2400.0625,2201.1005859375,216.0,94.5
8,77.7122974395752,152.66387462615967,99.8110294342041,71.65541648864746,6.79931640625,203.0380859375,4800.125,4371.4130859375,432.0,94.5
